n,doubling.ticks
1,11
2,12
3,13
4,14
5,15
6,16
7,17
8,18
9,19
10,20
11,52
12,53
13,54
14,55
15,56
16,57
17,58
18,59
19,60
20,61
21,123
22,124
23,125
24,126
25,127
26,128
27,129
28,130
29,131
30,132
31,133
32,134
33,135
34,136
35,137
36,138
37,139
38,140
39,141
40,142
41,264
42,265
43,266
44,267
45,268
46,269
47,270
48,271
49,272
50,273
51,274
52,275
53,276
54,277
55,278
56,279
57,280
58,281
59,282
60,283
61,284
62,285
63,286
64,287
65,288
66,289
67,290
68,291
69,292
70,293
71,294
72,295
73,296
74,297
75,298
76,299
77,300
78,301
79,302
80,303
81,545
82,546
83,547
84,548
85,549
86,550
87,551
88,552
89,553
90,554
91,555
92,556
93,557
94,558
95,559
96,560
97,561
98,562
99,563
100,564
101,565
102,566
103,567
104,568
105,569
106,570
107,571
108,572
109,573
110,574
111,575
112,576
113,577
114,578
115,579
116,580
117,581
118,582
119,583
120,584
121,585
122,586
123,587
124,588
125,589
126,590
127,591
128,592
129,593
130,594
131,595
132,596
133,597
134,598
135,599
136,600
137,601
138,602
139,603
140,604
141,605
142,606
143,607
144,608
145,609
146,610
147,611
148,612
149,613
150,614
151,615
152,616
153,617
154,618
155,619
156,620
157,621
158,622
159,623
160,624
161,1106
162,1107
163,1108
164,1109
165,1110
166,1111
167,1112
168,1113
169,1114
170,1115
171,1116
172,1117
173,1118
174,1119
175,1120
176,1121
177,1122
178,1123
179,1124
180,1125
181,1126
182,1127
183,1128
184,1129
185,1130
186,1131
187,1132
188,1133
189,1134
190,1135
191,1136
192,1137
193,1138
194,1139
195,1140
196,1141
197,1142
198,1143
199,1144
200,1145
201,1146
202,1147
203,1148
204,1149
205,1150
206,1151
207,1152
208,1153
209,1154
210,1155
211,1156
212,1157
213,1158
214,1159
215,1160
216,1161
217,1162
218,1163
219,1164
220,1165
221,1166
222,1167
223,1168
224,1169
225,1170
226,1171
227,1172
228,1173
229,1174
230,1175
231,1176
232,1177
